Id,Predicted
0,american (traditional)
1,chinese
2,chinese
3,chinese
4,italian
5,american (traditional)
6,american (traditional)
7,mediterranean
8,mexican
9,american (traditional)
10,chinese
11,mexican
12,chinese
13,chinese
14,american (traditional)
15,chinese
16,american (traditional)
17,japanese
18,chinese
19,mexican
20,mexican
21,japanese
22,american (traditional)
23,japanese
24,american (traditional)
25,mexican
26,american (traditional)
27,italian
28,american (traditional)
29,italian
30,italian
31,mexican
32,american (traditional)
33,mediterranean
34,mexican
35,american (traditional)
36,american (traditional)
37,chinese
38,japanese
39,mexican
40,american (traditional)
41,chinese
42,italian
43,chinese
44,italian
45,italian
46,american (traditional)
47,american (traditional)
48,italian
49,mexican
50,american (traditional)
51,american (traditional)
52,american (traditional)
53,american (traditional)
54,chinese
55,italian
56,american (traditional)
57,italian
58,american (traditional)
59,italian
60,american (traditional)
61,italian
62,chinese
63,japanese
64,mexican
65,mexican
66,american (traditional)
67,mexican
68,japanese
69,italian
70,italian
71,italian
72,american (traditional)
73,american (traditional)
74,american (traditional)
75,american (traditional)
76,italian
77,chinese
78,chinese
79,mexican
80,japanese
81,mexican
82,italian
83,mexican
84,american (traditional)
85,american (traditional)
86,chinese
87,chinese
88,japanese
89,mexican
90,japanese
91,american (traditional)
92,american (traditional)
93,mexican
94,american (traditional)
95,american (traditional)
96,american (traditional)
97,chinese
98,american (traditional)
99,italian
100,italian
101,mexican
102,american (traditional)
103,japanese
104,american (traditional)
105,chinese
106,mexican
107,american (traditional)
108,chinese
109,mexican
110,american (traditional)
111,american (traditional)
112,american (traditional)
113,chinese
114,chinese
115,mexican
116,american (traditional)
117,american (traditional)
118,american (traditional)
119,mexican
120,american (traditional)
121,chinese
122,italian
123,japanese
124,chinese
125,chinese
126,american (traditional)
127,american (traditional)
128,mexican
129,american (traditional)
130,american (traditional)
131,american (traditional)
132,mexican
133,american (traditional)
134,american (traditional)
135,canadian (new)
136,american (traditional)
137,italian
138,american (traditional)
139,italian
140,american (traditional)
141,italian
142,chinese
143,chinese
144,mexican
145,american (traditional)
146,mexican
147,american (traditional)
148,italian
149,mexican
150,chinese
151,canadian (new)
152,italian
153,american (traditional)
154,mexican
155,mexican
156,chinese
157,mexican
158,chinese
159,italian
160,chinese
161,mexican
162,italian
163,american (traditional)
164,american (traditional)
165,italian
166,american (traditional)
167,american (traditional)
168,american (traditional)
169,american (traditional)
170,mexican
171,american (traditional)
172,american (traditional)
173,chinese
174,american (traditional)
175,mexican
176,chinese
177,american (traditional)
178,italian
179,mexican
180,italian
181,mexican
182,italian
183,american (traditional)
184,american (traditional)
185,chinese
186,italian
187,chinese
188,italian
189,japanese
190,japanese
191,american (traditional)
192,chinese
193,chinese
194,chinese
195,american (traditional)
196,american (traditional)
197,american (traditional)
198,italian
199,chinese
200,american (traditional)
201,italian
202,mediterranean
203,american (traditional)
204,chinese
205,american (traditional)
206,american (traditional)
207,japanese
208,mexican
209,american (traditional)
210,chinese
211,chinese
212,italian
213,american (traditional)
214,mexican
215,chinese
216,american (traditional)
217,american (traditional)
218,mexican
219,chinese
220,chinese
221,american (traditional)
222,italian
223,chinese
224,mexican
225,chinese
226,american (traditional)
227,american (traditional)
228,american (traditional)
229,mexican
230,japanese
231,chinese
232,chinese
233,italian
234,american (traditional)
235,japanese
236,mexican
237,chinese
238,mexican
239,american (traditional)
240,chinese
241,american (traditional)
242,chinese
243,american (traditional)
244,italian
245,american (traditional)
246,chinese
247,mexican
248,chinese
249,chinese
250,chinese
251,italian
252,italian
253,italian
254,american (traditional)
255,chinese
256,american (traditional)
257,mexican
258,mexican
259,chinese
260,american (traditional)
261,american (traditional)
262,chinese
263,american (traditional)
264,chinese
265,american (traditional)
266,american (traditional)
267,american (traditional)
268,american (traditional)
269,italian
270,american (traditional)
271,italian
272,chinese
273,american (traditional)
274,american (traditional)
275,american (traditional)
276,italian
277,american (traditional)
278,italian
279,japanese
280,american (traditional)
281,italian
282,chinese
283,japanese
284,american (traditional)
285,american (traditional)
286,italian
287,mexican
288,italian
289,italian
290,italian
291,italian
292,mexican
293,chinese
294,italian
295,mexican
296,mediterranean
297,chinese
298,mexican
299,chinese
300,american (traditional)
301,chinese
302,mexican
303,american (traditional)
304,italian
305,mediterranean
306,italian
307,japanese
308,chinese
309,mexican
310,chinese
311,mexican
312,italian
313,american (traditional)
314,american (traditional)
315,chinese
316,chinese
317,italian
318,american (traditional)
319,italian
320,japanese
321,italian
322,chinese
323,japanese
324,american (traditional)
325,american (traditional)
326,american (traditional)
327,chinese
328,american (traditional)
329,american (traditional)
330,american (traditional)
331,american (traditional)
332,italian
333,italian
334,italian
335,mexican
336,american (traditional)
337,italian
338,italian
339,chinese
340,italian
341,american (traditional)
342,mexican
343,american (traditional)
344,chinese
345,american (traditional)
346,american (traditional)
347,mexican
348,mexican
349,american (traditional)
350,american (traditional)
351,american (traditional)
352,american (traditional)
353,italian
354,japanese
355,italian
356,american (traditional)
357,chinese
358,american (traditional)
359,american (traditional)
360,mexican
361,american (traditional)
362,chinese
363,american (traditional)
364,american (traditional)
365,japanese
366,chinese
367,chinese
368,american (traditional)
369,american (traditional)
370,mexican
371,american (traditional)
372,chinese
373,italian
